id,name,type,attribute,level,guardian_star_1,guardian_star_2,attack,defense,password,starchip_cost
338,Mooyan Curry,Magic,,0,,,0,0,58074572,999999
339,Red Medicine,Magic,,0,,,0,0,38199696,55
340,Goblin's Secret Remedy,Magic,,0,,,0,0,11868825,20000
341,Soul of the Pure,Magic,,0,,,0,0,47852924,35000
342,Dian Keto the Cure Master,Magic,,0,,,0,0,84257639,999999
343,Sparks,Magic,,0,,,0,0,76103675,10
344,Hinotama,Magic,,0,,,0,0,46130346,55
345,Final Flame,Magic,,0,,,0,0,73134081,20000
346,Ookazi,Magic,,0,,,0,0,19523799,35000
347,Tremendous Fire,Magic,,0,,,0,0,46918794,999999
348,Swords of Revealing Light,Magic,,0,,,0,0,72302403,999999
349,Spellbinding Circle,Magic,,0,,,0,0,18807108,999999
350,Dark-piercing Light,Magic,,0,,,0,0,45895206,999999
351,Yaranzo,Zombie,Dark,4,Moon,Mercury,1300,1500,71280811,160
352,Kanan the Swordmistress,Warrior,Earth,4,Uranus,Neptune,1400,1400,12829151,160
353,Takriminos,Sea Serpent,Water,4,Neptune,Mercury,1500,1200,44073668,140
354,Stuffed Animal,Warrior,Earth,3,Moon,Mars,1200,900,71068263,60
355,Megasonic Eye,Machine,Dark,5,Moon,Jupiter,1500,1800,07562372,290
356,Super War-lion,Beast,Earth,7,Jupiter,Venus,2300,2100,N/A,N/A
357,Yamadron,Dragon,Fire,5,Mars,Uranus,1600,1800,70345785,320
358,Seiyaryu,Dragon,Light,7,Sun,Neptune,2500,2300,06740720,1700
359,Three-legged Zombies,Zombie,Dark,3,Moon,Pluto,1100,800,33734439,50
360,Zera The Mant,Fiend,Dark,8,Moon,Saturn,2800,2300,N/A,N/A
361,Flying Penguin,Aqua,Water,4,Neptune,Jupiter,1200,1000,05628232,70
362,Millennium Shield,Warrior,Earth,5,Uranus,Mars,0,3000,32012841,200
363,Fairy's Gift,Spellcaster,Light,4,Jupiter,Mercury,1400,1000,68401546,120
364,Black Luster Soldier,Warrior,Dark,8,Moon,Uranus,3000,2500,N/A,N/A
365,Fiend's Mirror,Fiend,Dark,6,Venus,Pluto,2100,1800,N/A,N/A
366,Labyrinth Wall,Rock,Earth,5,Uranus,Jupiter,0,3000,67284908,200
367,Jirai Gumo,Insect,Earth,4,Jupiter,Uranus,2200,100,94773007,80
368,Shadow Ghoul,Zombie,Dark,5,Moon,Pluto,1600,1300,30778711,180
369,Wall Shadow,Warrior,Dark,7,Moon,Neptune,1600,3000,63162310,999999
370,Labyrinth Tank,Machine,Dark,7,Moon,Mercury,2400,2400,99551425,999999
371,Sanga of the Thunder,Thunder,Light,7,Pluto,Mars,2600,2200,25955164,999999
372,Kazejin,Spellcaster,Wind,7,Saturn,Mars,2400,2200,62340868,999999
373,Suijin,Aqua,Water,7,Neptune,Saturn,2500,2400,98434877,999999
374,Gate Guardian,Warrior,Dark,11,Moon,Mars,3750,3400,N/A,N/A
375,Dungeon Worm,Insect,Earth,5,Uranus,Moon,1800,1500,51228280,290
376,Monster Tamer,Warrior,Earth,5,Jupiter,Pluto,1800,1600,97612389,320
377,Ryu-kishin Powered,Fiend,Dark,4,Moon,Jupiter,1600,1200,24611934,160
378,Swordstalker,Warrior,Dark,6,Moon,Saturn,2000,1600,50005633,400
379,La Jinn the Mystical Genie,Fiend,Dark,4,Mercury,Saturn,1800,1000,97590747,160
380,Blue-eyes Ultimate Dragon,Dragon,Light,12,Sun,Venus,4500,3800,N/A,N/A
381,Toon Alligator,Reptile,Water,4,Neptune,Mars,800,1600,59383041,120
382,Rude Kaiser,Beast-Warrior,Earth,5,Uranus,Sun,1800,1600,26378150,320
383,Parrot Dragon,Dragon,Wind,5,Saturn,Sun,2000,1300,62762898,290
384,Dark Rabbit,Beast,Dark,4,Moon,Uranus,1100,1500,99261403,120
385,Bickuribox,Fiend,Dark,7,Moon,Neptune,2300,2000,25655502,900
386,Harpie's Pet Dragon,Dragon,Wind,7,Saturn,Moon,2000,2500,52040216,999999
387,Mystic Lamp,Spellcaster,Dark,1,Mercury,Uranus,400,300,98049915,15
388,Pendulum Machine,Machine,Dark,6,Mercury,Neptune,1750,2000,24433920,1000
389,Giltia the D. Knight,Warrior,Light,5,Sun,Mars,1850,1500,51828629,290
390,Launcher Spider,Machine,Fire,7,Mars,Pluto,2200,2500,87322377,999999
391,Zoa,Fiend,Dark,7,Moon,Mercury,2600,1900,24311372,999999
392,Metalzoa,Machine,Dark,8,Moon,Mars,3000,2300,50705071,999999
393,Zone Eater,Aqua,Water,1,Neptune,Sun,250,200,86100785,10
394,Steel Scorpion,Machine,Earth,1,Jupiter,Neptune,250,300,13599884,10
395,Dancing Elf,Fairy,Wind,1,Jupiter,Sun,300,200,59983499,10
396,Ocubeam,Fairy,Light,5,Saturn,Venus,1550,1650,86088138,260
397,Leghul,Insect,Earth,1,Jupiter,Moon,300,350,12472242,15
398,Ooguchi,Aqua,Water,1,Neptune,Moon,300,250,58861941,10
399,Swordsman from a Foreign Land,Warrior,Earth,1,Uranus,Venus,250,250,85255550,10
400,Emperor of the Land and Sea,Reptile,Water,5,Neptune,Venus,1800,1500,11250655,290
401,Ushi Oni,Fiend,Dark,6,Jupiter,Venus,2150,1950,48649353,700
402,Monster Eye,Fiend,Dark,1,Moon,Jupiter,250,350,84133008,15
403,Leogun,Beast,Earth,5,Uranus,Mercury,1750,1550,10538007,290
404,Tatsunootoshigo,Beast,Earth,5,Neptune,Mercury,1350,1600,47922711,180
405,Saber Slasher,Machine,Dark,5,Moon,Saturn,1450,1500,73911410,180
406,Yaiba Robo,Machine,Dark,4,Moon,Uranus,1000,1300,10315429,80
407,Machine King,Machine,Earth,6,Mars,Sun,2200,2000,46700124,800
408,Giant Mech-soldier,Machine,Earth,6,Moon,Neptune,1750,1900,72299832,400
409,Metal Dragon,Machine,Wind,6,Mars,Moon,1850,1700,09293977,350
410,Mechanical Spider,Machine,Earth,2,Jupiter,Mercury,400,500,45688586,20
411,Bat,Machine,Wind,1,Moon,Mercury,300,350,72076281,15
412,Giga-tech Wolf,Machine,Earth,4,Jupiter,Uranus,1200,1400,08471389,120
413,Cyber Soldier,Machine,Dark,5,Moon,Mars,1500,1700,44865098,260
414,Shovel Crusher,Machine,Earth,3,Uranus,Neptune,900,1200,71950093,60
415,Mechanicalchacer,Machine,Dark,4,Moon,Jupiter,1850,800,07359741,120
416,Blocker,Machine,Dark,4,Moon,Saturn,850,1800,34743446,120
417,Blast Juggler,Machine,Fire,3,Mars,Venus,800,900,70138455,40
418,Golgoil,Machine,Earth,4,Venus,Neptune,900,1600,07526150,100
419,Giganto,Machine,Dark,5,Moon,Uranus,1700,1800,33621868,350
420,Cyber-Stein,Machine,Dark,2,Moon,Neptune,700,500,69015963,25
421,Cyber Commander,Machine,Dark,2,Moon,Mercury,750,700,06400512,30
422,Jinzo #7,Machine,Dark,2,Moon,Mars,500,400,32809211,20
423,Dice Armadillo,Machine,Earth,5,Jupiter,Pluto,1650,1800,69893315,320
424,Sky Dragon,Dragon,Wind,6,Saturn,Uranus,1900,1800,95288024,1000
425,Thunder Dragon,Thunder,Light,5,Pluto,Jupiter,1600,1500,31786629,230
426,Stone D.,Rock,Earth,7,Uranus,Mars,2000,2300,68171737,900
427,Kaiser Dragon,Dragon,Light,7,Sun,Jupiter,2300,2000,94566432,900
428,Magician of Faith,Spellcaster,Light,1,Sun,Saturn,300,400,31560081,999999
429,Goddess of Whim,Fairy,Light,3,Sun,Uranus,950,700,67959180,999999
430,Water Magician,Aqua,Water,4,Neptune,Mercury,1400,1000,93343894,120
431,Ice Water,Aqua,Water,3,Neptune,Moon,1150,900,20848593,55
432,Waterdragon Fairy,Aqua,Water,3,Neptune,Venus,1100,700,66836598,45
433,Ancient Elf,Spellcaster,Light,4,Sun,Pluto,1450,1200,93221206,120
434,Beautiful Beast Trainer,Warrior,Earth,5,Jupiter,Neptune,1750,1500,29616941,260
435,Water Girl,Aqua,Water,4,Neptune,Venus,1250,1000,55014050,70
436,White Dolphin,Fish,Water,2,Neptune,Jupiter,500,400,92409659,20
437,Deepsea Shark,Fish,Water,5,Neptune,Mars,1900,1600,28593363,350
438,Metal Fish,Machine,Water,5,Neptune,Saturn,1600,1900,55998462,350
439,Bottom Dweller,Fish,Water,5,Neptune,Sun,1650,1700,81386177,290
440,7 Colored Fish,Fish,Water,4,Neptune,Sun,1800,800,23771716,120
441,Mech Bass,Machine,Water,5,Neptune,Venus,1800,1500,50176820,290
442,Aqua Dragon,Sea Serpent,Water,6,Neptune,Moon,2250,1900,86164529,700
443,Sea King Dragon,Sea Serpent,Water,6,Neptune,Mercury,2000,1700,23659124,1000
444,Turu-Purun,Aqua,Water,2,Neptune,Jupiter,450,500,59053232,20
445,Guardian of the Sea,Aqua,Water,4,Neptune,Mars,1300,1000,85448931,80
446,Aqua Snake,Aqua,Water,3,Neptune,Saturn,1050,900,12436646,50
447,Giant Red Seasnake,Aqua,Water,4,Neptune,Sun,1800,800,58831685,120
448,Spike Seadra,Sea Serpent,Water,5,Pluto,Mercury,1600,1300,85326399,180
449,"30,000-Year White Turtle",Aqua,Water,5,Neptune,Moon,1250,2100,11714098,290
450,Kappa Avenger,Aqua,Water,3,Neptune,Venus,1200,900,48109103,60
451,Kanikabuto,Aqua,Water,3,Neptune,Saturn,650,900,84103702,30
452,Zarigun,Aqua,Water,2,Neptune,Mercury,600,700,10598400,30
453,Millennium Golem,Rock,Earth,6,Uranus,Jupiter,2000,2200,47986555,800
454,Destroyer Golem,Rock,Earth,4,Uranus,Sun,1500,1000,73481154,100
455,Barrel Rock,Rock,Earth,4,Uranus,Moon,1000,1300,10476868,80
456,Minomushi Warrior,Rock,Earth,4,Uranus,Venus,1300,1200,46864967,100
457,Stone Ghost,Rock,Earth,4,Uranus,Mercury,1200,1000,72269672,70
458,Kaminari Attack,Thunder,Wind,5,Pluto,Venus,1900,1400,09653271,290
459,Tripwire Beast,Thunder,Earth,4,Pluto,Saturn,1200,1300,45042329,100
460,Bolt Escargot,Thunder,Water,5,Pluto,Jupiter,1400,1500,12146024,180
461,Bolt Penguin,Thunder,Water,3,Pluto,Moon,1100,800,48531733,50
462,The Immortal of Thunder,Thunder,Light,4,Pluto,Sun,1500,1300,84926738,160
463,Electric Snake,Thunder,Light,3,Pluto,Mars,800,900,11324436,40
464,Wing Eagle,Winged Beast,Wind,5,Saturn,Mercury,1800,1500,47319141,290
465,Punished Eagle,Winged Beast,Wind,6,Saturn,Pluto,2100,1800,74703140,550
466,Skull Red Bird,Winged Beast,Wind,4,Saturn,Sun,1550,1200,10202894,140
467,Crimson Sunbird,Winged Beast,Fire,6,Mars,Mercury,2300,1800,46696593,700
468,Queen Bird,Winged Beast,Wind,5,Saturn,Moon,1200,2000,73081602,260
469,Armed Ninja,Warrior,Earth,1,Neptune,Mars,300,300,09076207,15
470,Magical Ghost,Zombie,Dark,4,Moon,Pluto,1300,1400,46474915,140
471,Soul Hunter,Fiend,Dark,6,Moon,Jupiter,2200,1800,72869010,800
472,Air Eater,Fiend,Wind,6,Moon,Saturn,2100,1600,08353769,1000
473,Vermillion Sparrow,Pyro,Fire,5,Mars,Venus,1900,1500,35752363,320
474,Sea Kamen,Aqua,Water,4,Neptune,Sun,1100,1300,71746462,120
475,Sinister Serpent,Reptile,Water,1,Neptune,Jupiter,300,250,08131171,10
476,Ganigumo,Insect,Earth,2,Jupiter,Sun,600,800,34536276,30
477,Alinsection,Insect,Earth,3,Jupiter,Moon,950,700,70924884,35
478,Insect Soldiers of the Sky,Insect,Wind,3,Saturn,Neptune,1000,800,07019529,45
479,Cockroach Knight,Insect,Earth,3,Jupiter,Venus,800,900,33413638,999999
480,Kuwagata α,Insect,Earth,4,Jupiter,Mercury,1250,1000,60802233,70
481,Burglar,Beast,Earth,3,Jupiter,Uranus,850,800,06297941,35
482,Pragtical,Dinosaur,Earth,5,Uranus,Neptune,1900,1500,33691040,320
483,Garvas,Beast,Earth,6,Jupiter,Pluto,2000,1700,69780745,1000
484,Ameba,Aqua,Water,1,Neptune,Moon,300,350,95174353,15
485,Korogashi,Insect,Earth,2,Jupiter,Neptune,550,400,32569498,20
486,Boo Koo,Spellcaster,Dark,2,Sun,Jupiter,650,500,68963107,25
487,Flower Wolf,Beast,Earth,5,Jupiter,Sun,1800,1400,95952802,260
488,Rainbow Flower,Plant,Earth,2,Jupiter,Moon,400,500,21347810,20
489,Barrel Lily,Plant,Earth,3,Jupiter,Venus,1100,600,67841515,40
490,Needle Ball,Fiend,Dark,2,Moon,Uranus,750,700,94230224,30
491,Peacock,Winged Beast,Wind,5,Jupiter,Mercury,1700,1500,20624263,260
492,Hoshiningen,Fairy,Light,2,Sun,Neptune,500,700,67629977,25
493,Maha Vailo,Spellcaster,Light,5,Sun,Venus,1550,1400,93013676,180
494,Rainbow Marine Mermaid,Fish,Water,5,Neptune,Venus,1550,1700,29402771,260
495,Musician King,Spellcaster,Light,5,Sun,Mars,1750,1500,56907389,260
496,Wilmee,Beast,Earth,4,Jupiter,Uranus,1000,1200,92391084,70
497,Yado Karu,Aqua,Water,4,Neptune,Mercury,900,1700,29380133,120
498,Morinphen,Fiend,Dark,5,Moon,Neptune,1550,1300,55784832,160
499,Kattapillar,Insect,Earth,1,Jupiter,Neptune,250,300,81179446,999999
500,Dragon Seeker,Fiend,Dark,6,Moon,Mercury,2000,2100,28563545,700
501,Man-eater Bug,Insect,Earth,2,Jupiter,Pluto,450,600,54652250,20
502,D. Human,Warrior,Earth,4,Uranus,Mars,1300,1100,81057959,120
503,Turtle Raccoon,Aqua,Water,3,Jupiter,Sun,700,900,17441953,35
504,Fungi of the Musk,Fiend,Dark,1,Jupiter,Moon,400,300,53830602,15
505,Prisman,Rock,Light,3,Uranus,Jupiter,800,1000,80234301,45
506,Gale Dogra,Insect,Earth,2,Jupiter,Venus,650,600,16229315,25
507,Crazy Fish,Fish,Water,4,Neptune,Jupiter,1600,1200,53713014,160
508,Cyber Saurus,Machine,Earth,5,Uranus,Sun,1800,1400,89112729,260
509,Bracchio-raidus,Dinosaur,Water,6,Uranus,Moon,2200,2000,16507828,800
510,Laughing Flower,Plant,Earth,2,Jupiter,Mercury,900,500,42591472,30
511,Bean Soldier,Plant,Earth,4,Jupiter,Uranus,1400,1300,84990171,140
512,Cannon Soldier,Machine,Dark,4,Moon,Mars,1400,1300,11384280,140
513,Guardian of the Throne Room,Machine,Light,5,Sun,Saturn,1650,1600,47879985,260
514,Brave Scizzar,Machine,Dark,4,Moon,Jupiter,1300,1000,74277583,80
515,The Statue of Easter Island,Rock,Earth,4,Uranus,Venus,1100,1400,10262698,100
516,Muka Muka,Rock,Earth,2,Uranus,Mercury,600,300,46657337,20
517,Sand Stone,Rock,Earth,5,Uranus,Mars,1300,1600,73051941,180
518,Boulder Tortoise,Aqua,Earth,6,Uranus,Neptune,1450,2200,09540040,400
519,Fire Kraken,Aqua,Fire,5,Mars,Saturn,1600,1500,46534755,230
520,Turtle Bird,Aqua,Water,6,Saturn,Mars,1900,1700,72929454,400
521,Skullbird,Winged Beast,Wind,6,Saturn,Venus,1900,1700,08327462,400
522,Monstrous Bird,Winged Beast,Wind,6,Saturn,Mercury,2000,1900,35712107,550
523,The Bistro Butcher,Fiend,Dark,4,Moon,Saturn,1800,1000,71107816,160
524,Star Boy,Aqua,Water,2,Neptune,Mars,550,500,08201910,20
525,Spirit of the Mountain,Spellcaster,Earth,5,Uranus,Jupiter,1300,1800,34690519,230
526,Neck Hunter,Fiend,Dark,6,Moon,Uranus,1750,1900,70084224,400
527,Milus Radiant,Beast,Earth,1,Jupiter,Neptune,300,250,07489323,10
528,Togex,Beast,Earth,5,Uranus,Sun,1600,1800,33878931,320
529,Flame Cerebrus,Pyro,Fire,6,Mars,Pluto,2100,1800,60862676,550
530,Eldeen,Spellcaster,Light,3,Mercury,Moon,950,1000,06367785,50
531,Mystical Sand,Rock,Earth,6,Mercury,Saturn,2100,1700,32751480,500
532,Gemini Elf,Spellcaster,Earth,4,Sun,Uranus,1900,900,69140098,160
533,Kwagar Hercules,Insect,Earth,6,Jupiter,Sun,1900,1700,95144193,400
534,Minar,Insect,Earth,3,Moon,Neptune,850,750,32539892,35
535,Kamakiriman,Insect,Earth,4,Jupiter,Moon,1150,1400,68928540,100
536,Mechaleon,Reptile,Water,2,Neptune,Saturn,800,600,94412545,30
537,Mega Thunderball,Thunder,Wind,2,Pluto,Mercury,750,600,21817254,30
538,Niwatori,Winged Beast,Earth,3,Jupiter,Venus,900,800,07805359,40
539,Corroding Shark,Zombie,Dark,3,Moon,Pluto,1100,700,34290067,45
540,Skelengel,Fairy,Light,2,Sun,Pluto,900,400,60694662,30
541,Hane-Hane,Beast,Earth,2,Saturn,Pluto,450,500,07089711,999999
542,Misairuzame,Fish,Water,5,Neptune,Sun,1400,1600,33178416,200
543,Tongyo,Fish,Water,4,Neptune,Moon,1350,800,69572024,60
544,Dharma Cannon,Machine,Dark,2,Moon,Mercury,900,500,96967123,30
545,Skelgon,Zombie,Dark,6,Moon,Pluto,1700,1900,32355828,999999
546,Wow Warrior,Fish,Water,4,Neptune,Mars,1250,900,69750536,60
547,Griggle,Plant,Earth,1,Jupiter,Mercury,350,300,95744531,15
548,Bone Mouse,Zombie,Dark,1,Moon,Pluto,400,300,21239280,15
549,Frog The Jam,Aqua,Water,2,Neptune,Jupiter,700,500,68638985,25
550,Behegon,Aqua,Water,4,Neptune,Saturn,1350,1000,94022093,80
551,Dark Elf,Spellcaster,Dark,4,Mercury,Jupiter,2000,800,21417692,160
552,Winged Dragon #2,Winged Beast,Wind,4,Saturn,Neptune,1200,1000,57405307,70
553,Mushroom Man #2,Warrior,Earth,3,Jupiter,Uranus,1250,800,93900406,55
554,Lava Battleguard,Warrior,Earth,5,Mercury,Mars,1550,1800,20394040,999999
555,Tyhone #2,Dragon,Fire,6,Mars,Uranus,1700,1900,56789759,999999
556,The Wandering Doomed,Zombie,Dark,2,Moon,Pluto,800,600,93788854,30
557,Steel Ogre Grotto #1,Machine,Earth,5,Moon,Mars,1400,1800,29172562,260
558,Pot the Trick,Rock,Earth,2,Moon,Jupiter,400,400,55567161,20
559,Oscillo Hero,Warrior,Earth,3,Venus,Sun,1250,700,82065276,50
560,Invader from Another Dimension,Fiend,Dark,4,Venus,Mars,950,1400,28450915,80
561,Lesser Dragon,Dragon,Wind,4,Moon,Saturn,1200,1000,55444629,70
562,Needle Worm,Insect,Earth,2,Jupiter,Pluto,750,600,81843628,999999
563,Wretched Ghost of the Attic,Fiend,Dark,2,Mercury,Uranus,550,400,17238333,20
564,Great Mammoth of Goldfine,Zombie,Dark,6,Moon,Pluto,2200,1800,54622031,800
565,Man-eating Black Shark,Fish,Water,5,Neptune,Sun,2100,1300,80727036,320
566,Yormungarde,Reptile,Earth,3,Neptune,Moon,1200,900,17115745,60
567,Darkworld Thorns,Plant,Earth,3,Moon,Jupiter,1200,900,43500484,60
568,Anthrosaurus,Dinosaur,Earth,3,Uranus,Moon,1000,850,89904598,45
569,Drooling Lizard,Reptile,Earth,3,Neptune,Venus,900,800,16353197,40
570,Trakadon,Dinosaur,Earth,3,Uranus,Venus,1300,800,42348802,60
571,B. Dragon Jungle King,Dragon,Earth,6,Jupiter,Neptune,2100,1800,89832901,999999
572,Empress Judge,Warrior,Earth,6,Uranus,Venus,2100,1700,15237615,500
573,Little D,Dinosaur,Earth,3,Uranus,Mercury,1100,700,42625254,45
574,Witch of the Black Forest,Spellcaster,Dark,4,Mercury,Pluto,1100,1200,78010363,80
575,Ancient One of the Deep Forest,Beast,Earth,6,Jupiter,Sun,1800,1900,14015067,1000
576,Giant Scorpion of the Tundra,Insect,Earth,3,Jupiter,Moon,1100,1000,41403766,60
577,Crow Goblin,Winged Beast,Wind,5,Saturn,Mars,1850,1600,77998771,320
578,Leo Wizard,Spellcaster,Earth,5,Mercury,Neptune,1350,1200,04392470,100
579,Abyss Flower,Plant,Earth,2,Jupiter,Venus,750,400,40387124,25
580,Patrol Robo,Machine,Earth,3,Moon,Uranus,1100,900,76775123,55
581,Takuhee,Winged Beast,Wind,4,Saturn,Sun,1450,1000,03170832,120
582,Dark Witch,Fairy,Light,5,Sun,Neptune,1800,1700,35565537,350
583,Weather Report,Aqua,Water,4,Neptune,Mercury,950,1500,72053645,120
584,Binding Chain,Fairy,Light,3,Sun,Venus,1000,1100,08058240,60
585,Mechanical Snail,Machine,Dark,3,Moon,Neptune,800,1000,34442949,45
586,Greenkappa,Warrior,Dark,3,Moon,Mercury,650,900,61831093,30
587,Mon Larvas,Beast,Earth,4,Jupiter,Mercury,1300,1400,07225792,140
588,Living Vase,Plant,Earth,3,Jupiter,Uranus,900,1100,34320307,55
589,Tentacle Plant,Plant,Water,2,Jupiter,Pluto,500,600,60715406,25
590,Beaked Snake,Reptile,Earth,3,Neptune,Jupiter,800,900,06103114,40
591,Morphing Jar,Rock,Earth,2,Uranus,Neptune,700,600,33508719,30
592,Muse-A,Fairy,Light,3,Sun,Mars,850,900,69992868,40
593,Giant Turtle Who Feeds on Flames,Aqua,Water,5,Neptune,Mars,1400,1800,96981563,260
594,Rose Spectre of Dunn,Plant,Dark,6,Moon,Jupiter,2000,1800,32485271,500
595,Fiend Refrection #1,Winged Beast,Wind,4,Venus,Jupiter,1300,1400,68870276,140
596,Ghoul with an Appetite,Zombie,Dark,4,Moon,Pluto,1600,1200,95265975,160
597,Pale Beast,Beast,Earth,4,Jupiter,Neptune,1500,1200,21263083,140
598,Little Chimera,Beast,Fire,2,Saturn,Moon,600,550,68658728,25
599,Violent Rain,Aqua,Water,4,Neptune,Mercury,1550,800,94042337,80
600,Key Mace #2,Fiend,Dark,4,Mercury,Moon,1050,1200,20541432,70
601,Tenderness,Fairy,Light,3,Sun,Jupiter,700,1400,57935140,60
602,Penguin Soldier,Aqua,Water,2,Neptune,Mars,750,500,93920745,25
603,Fairy Dragon,Dragon,Wind,4,Sun,Saturn,1100,1200,20315854,999999
604,Obese Marmot of Nefariousness,Beast,Earth,3,Moon,Mars,750,800,56713552,30
605,Liquid Beast,Aqua,Water,3,Neptune,Saturn,950,800,93108297,40
606,Twin Long Rods #2,Aqua,Water,3,Neptune,Sun,850,700,29692206,30
607,Great Bill,Beast,Earth,4,Jupiter,Sun,1250,1300,55691901,100
608,Shining Friendship,Fairy,Light,4,Sun,Uranus,1300,1100,82085619,120
609,Bladefly,Insect,Wind,2,Jupiter,Moon,600,700,28470714,30
610,Electric Lizard,Thunder,Earth,3,Pluto,Sun,850,800,55875323,35
611,Hiro's Shadow Scout,Fiend,Dark,2,Moon,Saturn,650,500,81863068,25
612,Lady of Faith,Spellcaster,Light,3,Sun,Pluto,1100,800,17358176,50
613,Twin-headed Thunder Dragon,Thunder,Light,7,Pluto,Moon,2800,2100,54752875,1900
614,Hunter Spider,Insect,Earth,5,Jupiter,Venus,1600,1400,80141480,200
615,Armored Starfish,Aqua,Water,4,Neptune,Moon,850,1400,17535588,70
616,Hourglass of Courage,Fairy,Light,4,Sun,Neptune,1100,1200,43530283,80
617,Marine Beast,Fish,Water,5,Neptune,Mercury,1700,1600,29929832,290
618,Warrior of Tradition,Warrior,Earth,6,Mercury,Mars,1900,1700,56413937,400
619,Rock Spirit,Spellcaster,Earth,5,Uranus,Mars,1650,1900,82818645,350
620,Snakeyashi,Plant,Earth,4,Jupiter,Mercury,1000,1200,29802344,70
621,Succubus Knight,Warrior,Dark,5,Mercury,Jupiter,1650,1300,55291359,180
622,Ill Witch,Spellcaster,Light,5,Sun,Venus,1600,1500,81686058,230
623,The Thing That Hides in the Mud,Rock,Earth,4,Uranus,Jupiter,1200,1300,18180762,100
624,High Tide Gyojin,Aqua,Water,5,Neptune,Mercury,1650,1300,54579801,180
625,Fairy of the Fountain,Aqua,Water,4,Neptune,Venus,1600,1100,81563416,140
626,Amazon of the Seas,Fish,Water,4,Neptune,Mars,1300,1400,17968114,140
627,Nekogal #2,Beast-Warrior,Earth,6,Jupiter,Uranus,1900,2000,43352213,550
628,Witch's Apprentice,Spellcaster,Dark,2,Mercury,Saturn,550,500,80741828,999999
629,Armored Rat,Beast,Earth,3,Jupiter,Pluto,950,1100,16246527,55
630,Ancient Lizard Warrior,Reptile,Earth,4,Neptune,Saturn,1400,1100,43230671,100
631,Maiden of the Moonlight,Spellcaster,Light,4,Moon,Venus,1500,1300,79629370,160
632,Stone Ogre Grotto,Rock,Earth,5,Uranus,Sun,1600,1500,15023985,230
633,Winged Egg of New Life,Fairy,Light,5,Sun,Mars,1400,1700,42418084,230
634,Night Lizard,Aqua,Water,4,Neptune,Jupiter,1150,1300,78402798,120
635,Queen's Double,Warrior,Earth,1,Uranus,Moon,350,300,05901497,15
636,Blue-winged Crown,Winged Beast,Wind,4,Saturn,Venus,1600,1200,41396436,160
637,Trent,Plant,Earth,5,Jupiter,Sun,1500,1800,78780140,290
638,Queen of Autumn Leaves,Plant,Earth,5,Jupiter,Moon,1800,1500,04179849,290
639,Amphibious Bugroth,Aqua,Water,5,Neptune,Sun,1850,1300,40173854,230
640,Acid Crawler,Insect,Earth,3,Jupiter,Venus,900,700,77568553,999999
641,Invader of the Throne,Warrior,Earth,5,Uranus,Venus,1350,1700,03056267,200
642,Mystical Sheep #1,Beast,Earth,3,Venus,Saturn,1150,900,30451366,55
643,Disk Magician,Machine,Dark,4,Moon,Uranus,1350,1000,76446915,80
644,Flame Viper,Pyro,Earth,2,Mars,Pluto,400,450,02830619,20
645,Royal Guard,Machine,Earth,6,Uranus,Mercury,1900,2200,39239728,700
646,Gruesome Goo,Aqua,Water,3,Neptune,Moon,1300,700,65623423,55
647,Hyosube,Aqua,Water,4,Neptune,Venus,1500,900,02118022,120
648,Machine Attacker,Machine,Earth,5,Moon,Neptune,1600,1300,38116136,180
649,Hibikime,Warrior,Earth,4,Mercury,Uranus,1450,1000,64501875,120
650,Whiptail Crow,Fiend,Dark,5,Moon,Mercury,1650,1600,91996584,260
651,Kunai with Chain,Equip,,0,,,0,0,37390589,800
652,Magical Labyrinth,Equip,,0,,,0,0,64389297,10
653,Warrior Elimination,Magic,,0,,,0,0,90873992,999999
654,Salamandra,Equip,,0,,,0,0,32268901,800
655,Cursebreaker,Magic,,0,,,0,0,69666645,10
656,Eternal Rest,Magic,,0,,,0,0,95051344,999999
657,Megamorph,Equip,,0,,,0,0,22046459,50000
658,Metalmorph,Equip,,0,,,0,0,68540058,999999
659,Winged Trumpeter,Equip,,0,,,0,0,94939166,800
660,Stain Storm,Magic,,0,,,0,0,21323861,999999
661,Crush Card,Magic,,0,,,0,0,57728570,999999
662,Eradicating Aerosol,Magic,,0,,,0,0,94716515,999999
663,Breath of Light,Magic,,0,,,0,0,20101223,999999
664,Eternal Draught,Magic,,0,,,0,0,56606928,999999
665,Curse of Millennium Shield,Ritual,,0,,,0,0,83094937,10
666,Yamadron Ritual,Ritual,,0,,,0,0,29089635,10
667,Gate Guardian Ritual,Ritual,,0,,,0,0,56483330,999999
668,Bright Castle,Equip,,0,,,0,0,82878489,800
669,Shadow Spell,Magic,,0,,,0,0,29267084,999999
670,Black Luster Ritual,Ritual,,0,,,0,0,55761792,100
671,Zera Ritual,Ritual,,0,,,0,0,81756897,100
672,Harpie's Feather Duster,Magic,,0,,,0,0,18144506,999999
673,War-lion Ritual,Ritual,,0,,,0,0,54539105,100
674,Beastry Mirror Ritual,Ritual,,0,,,0,0,81933259,100
675,Ultimate Dragon,Ritual,,0,,,0,0,17928958,999999
676,Commencement Dance,Ritual,,0,,,0,0,43417563,50
677,Hamburger Recipe,Ritual,,0,,,0,0,80811661,50
678,Revival of Sennen Genjin,Ritual,,0,,,0,0,16206366,100
679,Novox's Prayer,Ritual,,0,,,0,0,43694075,50
